id,sentence,sense_key,targets
d0000.s0000.t0000,"Det er den mest antiautoritære tingen jeg kunne gjort , så det er jeg [TGT] stolt [TGT] av .","['6176', '27274']",[1]
d0000.s0001.t0000,"« Ingenting å [TGT] se [TGT] her » , « Pass dine egne saker » og « Takk for at du er du » er blant meldingene du som passasjer kan sende på mer eller mindre subtilt vis til sikkerhetspersonalet .","['18044', '8339', '32677', '32671', '32637', '30982', '18042', '20033']",[1]
d0000.s0003.t0000,"Hammarskjöld er også den eneste [TGT] generalsekretær [TGT] før Annan som har fått fredsprisen , riktignok etter at han døde .",['57558'],[0]
d0000.s0003.t0002,"Hammarskjöld er også den eneste generalsekretær før Annan som har fått fredsprisen , riktignok etter at han [TGT] døde [TGT] .","['7681', '7682', '7683']",[0]
d0000.s0006.t0000,Hun [TGT] synes [TGT] det er søtt når menn rødmer .,"['20003', '8328', '19963']",[0]
d0000.s0007.t0000,Det [TGT] kommunale [TGT] byråkratiet har økt med over seks milliarder kroner bare siden de rødgrønne overtok i 2005 .,['6200'],[0]
d0000.s0007.t0001,Det kommunale byråkratiet har økt med over seks milliarder [TGT] kroner [TGT] bare siden de rødgrønne overtok i 2005 .,"['361', '22181', '26466', '44534', '37828', '26465', '26464', '41542', '46000', '2237', '2213', '35766', '21384']",[2]
d0000.s0008.t0000,Dere finner dem [TGT] yngre [TGT] og yngre ?,['5394'],[0]
d0000.s0008.t0001,Dere finner dem yngre og [TGT] yngre [TGT] ?,['5394'],[0]
d0000.s0012.t0000,"I går kveld [TGT] møtte [TGT] statsministerkandidat Kjell Magne Bondevik opp på Fr.p.-formann Carl I. Hagens kontor , vegg i vegg med hans eget .","['31184', '30756', '18151', '18200', '32219', '43333', '32696']",[5]
d0000.s0012.t0004,"I går kveld møtte statsministerkandidat Kjell Magne Bondevik opp på Fr.p.-formann Carl I. Hagens kontor , [TGT] vegg [TGT] i vegg med hans eget .","['2726', '50369', '50336', '50370']",[0]
d0000.s0012.t0005,"I går kveld møtte statsministerkandidat Kjell Magne Bondevik opp på Fr.p.-formann Carl I. Hagens kontor , vegg i [TGT] vegg [TGT] med hans eget .","['50336', '2726', '50369', '50370']",[1]
d0000.s0013.t0000,Opp av alle [TGT] husene [TGT] stikker pipene .,"['51913', '23764', '1154', '214', '59967', '51912', '1081', '63771', '63778', '41526']",[8]
d0000.s0015.t0000,"En sammenstilling av alle kommunevalgmålinger på nettstedet Poll of polls viser at SV i gjennomsnitt har en [TGT] oppslutning [TGT] på 4,5 prosent , en tilbakegang på 1,7 prosentpoeng fra forrige lokalvalg .",['40844'],[0]
d0000.s0018.t0000,"- Jeg er [TGT] spesielt [TGT] stolt over å være her i dag , fordi jeg har sett FN arbeide på nært hold .","['5959', '15883']",[0]
d0000.s0018.t0001,"- Jeg er spesielt [TGT] stolt [TGT] over å være her i dag , fordi jeg har sett FN arbeide på nært hold .","['27274', '6176']",[0]
d0000.s0018.t0002,"- Jeg er spesielt stolt over å være her i [TGT] dag [TGT] , fordi jeg har sett FN arbeide på nært hold .","['3536', '12530']",[0]
d0000.s0018.t0003,"- Jeg er spesielt stolt over å være her i dag , fordi jeg har [TGT] sett [TGT] FN arbeide på nært hold .","['18044', '8339', '32637', '30982', '32671', '20033', '32677', '18042']",[5]
d0000.s0018.t0004,"- Jeg er spesielt stolt over å være her i dag , fordi jeg har sett FN [TGT] arbeide [TGT] på nært hold .",['15987'],[0]
d0000.s0019.t0000,Eirik Vinje sier til Klassekampen at han mener det er viktig at foreldre og [TGT] samfunnet [TGT] for øvrig har et bevisst forhold til virkningen av slike spill .,"['90', '1669', '2171', '36989']",[1]
d0000.s0022.t0000,"Det er et drømmesenario , der filmen har [TGT] truffet [TGT] noe hos folk .","['31422', '43128', '18749', '31403']",[3]
d0000.s0023.t0001,Han tok [TGT] yngstesønnene [TGT] ut av skolen og med på turné som rigger og sjauer .,['56475'],[0]
d0000.s0024.t0000,"Uansett hvor i verden en produserer elektrisitet basert på [TGT] gass [TGT] , er klimaeffekten den samme .","['24257', '38996', '51216']",[1]
d0000.s0025.t0000,Johansen legger ikke skjul på at eldreomsorg er den viktigste saken for Arbeiderpartiet i [TGT] høstens [TGT] valg .,"['3478', '12498']",[1]
d0000.s0026.t0000,"Han [TGT] sitter [TGT] der og nynner og skribler ned noen noter , og melodien blir ferdig på tjue minutter .","['8540', '20098', '20106', '20107', '20105', '8536', '20120']",[4]
d0000.s0026.t0001,"Han sitter der og nynner og skribler ned noen noter , og [TGT] melodien [TGT] blir ferdig på tjue minutter .",['30188'],[0]
d0000.s0026.t0003,"Han sitter der og nynner og skribler ned noen noter , og melodien blir ferdig på tjue [TGT] minutter [TGT] .",['12534'],[0]
d0000.s0027.t0001,"Jeg deler representanten Sanners [TGT] oppfatning [TGT] av at vi i Norge bør ta i bruk naturgassen på flere områder , til transport , industri og kanskje også til gasskraftproduksjon .","['14751', '5221', '13480']",[0]
d0000.s0027.t0002,"Jeg deler representanten Sanners oppfatning av at vi i Norge bør ta i [TGT] bruk [TGT] naturgassen på flere områder , til transport , industri og kanskje også til gasskraftproduksjon .","['42550', '6852', '16029', '63921', '50185']",[2]
d0000.s0029.t0000,En engelsk [TGT] journalist [TGT] spør hvordan det var å spille seriekamp på et annet kontinent .,['47476'],[0]
